사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Sep.19,2호선,218,종합운동장,9,0,2209,1122,6466,9507,19432,22786,28308,31430,19750,19768,13721,15454,14750,14255,15139,20750,15646,38828,15388,21395,16798,23367,26259,37165,38023,39993,31570,52653,21135,26580,25971,13662,43941,13294,17530,13935,3120,7857,418,2257,7,137,0,0,0,0
Sep.19,2호선,219,삼성(무역센터),121,3,5068,5456,8500,41475,19511,121820,25885,328883,26058,250262,27195,115967,39615,94489,50359,83064,65955,90700,80253,80874,101255,71049,121359,69373,185004,69170,297452,77728,185899,49116,132898,24329,110143,18786,79593,17343,22576,8896,3256,4676,20,1695,0,40,0,0
Sep.19,2호선,220,선릉,90,2,5573,6240,11711,40644,23254,101947,36011,293926,35871,212050,37532,91109,50119,63108,59484,57363,69206,64895,75138,57093,92982,50085,126894,49791,158763,56556,280548,61237,139569,43826,88858,25767,89690,21307,76389,19776,28967,11432,4934,5434,49,176,0,2,0,0
Sep.19,2호선,221,역삼,78,3,4211,7339,8824,35787,16617,117771,27959,337601,25895,256420,26775,104414,35352,67591,45017,58291,54621,67294,60571,55987,79195,52285,94934,48583,161889,53775,272244,63181,136509,46289,80770,25492,81607,20470,58987,17532,23775,11764,4256,3593,20,72,1,6,0,0
Sep.19,2호선,222,강남,234,11,15045,11979,23832,54235,43762,160565,70870,329394,62087,335223,60090,165400,78234,133456,102624,132888,128946,158262,134837,136770,159725,131207,182315,143663,244957,176923,359068,246288,231394,184909,191358,86375,231233,66385,248383,55746,102099,35802,18705,10752,153,169,2,14,0,0
Sep.19,2호선,223,교대(법원.검찰청),22,1,2858,7290,13851,26763,28398,64495,42378,155505,34103,139753,32287,74567,38299,65252,42509,61169,53290,64394,60342,60527,64827,56292,67172,59960,96098,77891,149979,101518,79762,63148,66038,34116,73559,28903,67039,27526,23729,15303,5019,4505,20,56,0,5,0,0
Sep.19,2호선,224,서초,23,1,1679,4917,12062,19840,18385,51146,26194,121271,27248,100327,20908,45016,31077,38656,27699,29635,38553,31365,38454,32340,42260,28456,52363,33671,68021,45910,108354,52277,62184,29097,45927,15023,49602,11556,29801,10800,8392,6202,1085,1691,3,17,0,3,0,0
Sep.19,2호선,225,방배,13,0,3184,3572,10038,12170,26796,28678,38362,79796,30255,64256,21464,42048,23482,27637,25612,29904,29043,29061,30777,27468,37023,26210,44984,29841,53326,36599,79198,44128,36730,35022,27251,22480,28119,20770,22903,22587,9957,12332,2157,4163,8,21,0,5,0,0
Sep.19,2호선,226,사당,232,3,13742,3681,24566,30865,75658,50439,107563,78632,76863,61209,51570,47925,47628,56486,56452,57809,61371,56644,64840,56101,62991,65564,68670,85728,80889,113389,101553,170179,74828,132893,68109,78575,74901,73348,72163,71506,42129,45177,7525,15806,75,984,2,15,0,0
Sep.19,2호선,227,낙성대,65,5,11571,2334,26192,10711,85193,21853,129842,48130,83199,37209,45247,33134,38123,26502,42254,29793,43149,32395,37440,33272,42755,38363,44147,45056,50343,58061,58871,93577,36280,90932,26553,59255,25802,57741,20932,60417,11751,39849,2056,11837,26,185,0,13,0,0
Sep.19,2호선,228,서울대입구(관악구청),3976,25,28962,3082,45280,16742,133744,33688,187914,80088,122671,75383,73536,62774,66187,51846,71519,57309,80340,63274,69712,62522,75580,71352,84169,80931,96384,106323,107781,165488,71201,158400,57593,95625,57959,93567,51674,95978,27610,60955,4820,22908,43,4698,0,48,0,0
Sep.19,2호선,229,봉천,99,8,15891,1777,30021,8775,85976,14733,121263,27842,74168,24807,42568,22406,35185,23193,37596,24938,36750,27747,31478,30275,31407,38214,35870,42245,35776,54411,37215,81074,24203,74344,18799,46232,16507,45434,12277,45234,5264,27382,955,8991,6,268,0,0,0,0
Sep.19,2호선,230,신림,287,14,40235,5090,79233,21995,221887,37261,322626,66441,196203,57286,110177,53899,91659,56639,96945,62956,94802,70846,84713,78964,83552,95436,91188,110686,99481,150115,106149,243314,72915,241847,59179,151588,56260,148248,51039,144764,28458,97868,5027,32623,91,674,0,0,0,0
Sep.19,2호선,231,신대방,169,2,25435,2564,37231,10396,96812,19604,132360,37892,87764,26545,52256,21767,41553,22554,41305,24860,39536,28538,34806,32105,33613,41987,36410,48303,39703,63359,47364,90709,28989,86950,21104,57543,17324,64366,13574,64572,6677,38952,1079,11137,17,252,0,0,0,0
Sep.19,2호선,232,구로디지털단지,366,4,40685,6342,52660,21585,145673,71176,189690,248791,125511,152030,78836,62210,69223,52591,74095,54073,74345,66314,66741,69736,71233,76572,85507,84817,120436,114735,227593,168717,123129,147129,77317,95463,64215,98273,50406,98089,25949,61083,4290,17097,43,437,1,2,0,0
Sep.19,2호선,233,대림(구로구청),628,13,35217,4187,31282,11930,74793,23215,102090,61642,76147,42121,47809,39912,39513,42502,41761,39688,42913,41161,38435,40613,40195,47273,43619,52059,50613,71360,64746,81500,37706,65689,26851,47216,21727,58322,16153,59352,8722,30652,1185,7952,24,285,0,5,0,0
Sep.19,2호선,234,신도림,3083,15,37530,5775,51907,22585,144518,42880,149501,126023,98589,83549,71877,79173,69504,75612,79717,80618,85284,85106,83622,81177,89102,87408,96436,99490,115088,123324,152837,184602,96989,153290,79615,87315,78911,82328,62422,84279,32412,61243,3422,27147,45,3654,0,95,0,0
Sep.19,2호선,235,문래,3,1,3708,2134,11838,10747,44014,31989,47556,107234,27934,53866,21900,23579,21121,21875,24753,22588,25708,23169,24977,24452,27184,23773,30914,25859,47984,32126,89395,49765,38374,39975,24180,22931,23352,21059,19606,19238,8789,12350,1468,4326,12,63,0,4,0,0
Sep.19,2호선,236,영등포구청,40,4,5764,2804,13243,12071,43210,31004,50481,117472,32965,53365,25221,27782,26421,24606,28194,25851,29959,27521,29632,26355,31250,27933,35940,29664,48899,36098,99044,55841,37246,41613,27313,24974,26797,23138,21187,22051,8773,14836,1431,5334,18,103,1,14,0,0
Sep.19,2호선,237,당산,57,3,7444,4120,19953,15644,52996,31352,70081,87222,47647,42130,33103,23231,30354,22730,30348,23466,29106,27213,26002,27321,26841,31106,32838,37143,46591,49360,69415,77428,36182,60827,25124,39601,24577,39511,21276,37891,10822,24263,1779,6609,16,153,0,11,0,0
Sep.19,2호선,238,합정,133,1,9502,3645,18379,19898,44529,35475,57379,97048,39445,76869,30881,48509,33320,45480,37609,50165,42601,55510,43773,54608,48315,52906,56830,60386,74190,77769,110248,109355,74470,88305,58953,47865,68057,38765,67181,33399,35971,23904,6110,8587,85,213,0,5,0,0
Sep.19,2호선,239,홍대입구,1275,13,35314,4307,35845,18850,69312,39126,88267,111137,70819,136081,66026,104438,73168,116573,83843,140584,94964,161306,103541,156991,121086,162260,145638,174022,173862,205399,206296,259995,169239,212875,161569,127002,192063,99681,207614,83399,113391,62756,15133,22692,248,2742,0,41,0,0
Sep.19,2호선,240,신촌,95,9,10617,3505,15199,16476,37579,40454,55819,97245,42804,119518,43054,86177,50425,74648,63906,79529,72411,84809,73006,78013,83002,75135,97354,79583,117638,102831,123445,142628,92102,108960,91401,59183,102421,48801,106711,43110,56726,31723,9934,9415,92,264,0,6,0,0
Sep.19,2호선,241,이대,49,0,3205,1661,6470,13582,17594,19608,26384,48000,19049,67929,16659,56963,22376,39618,34452,44337,37765,44366,36158,33710,45662,33769,55572,34011,67696,38660,58900,45608,39071,33442,32643,20051,35423,18689,25514,18599,8805,13920,1146,4114,3,93,0,0,0,0
Sep.19,2호선,242,아현,39,2,4490,1158,10139,8087,27250,13489,37191,24294,23727,13974,17774,13175,16643,10348,17608,12624,17546,14166,15765,14541,17189,15316,24260,17995,23034,22458,23112,30468,13821,25884,9786,17572,8692,17772,6211,17116,2873,12314,476,3221,7,65,1,1,0,0
Sep.19,2호선,243,충정로(경기대입구),24,2,3506,961,6953,6137,16878,18256,24754,66585,16015,32780,12931,15552,13953,13121,14413,12645,15580,15621,15696,14462,17173,13996,19980,15130,26099,18172,54345,23485,18618,18167,12029,12165,11402,12496,8007,11576,3681,8344,639,2466,2,80,0,2,0,0
Sep.19,2호선,244,용답,28,0,2693,249,3192,951,8180,1669,12855,4240,6684,5728,4311,3477,4105,2844,4426,3134,4551,3871,4266,3383,4349,4413,5038,5685,5267,6352,4923,9885,2787,7834,2123,4937,1609,5960,1370,5616,669,3855,124,1090,3,16,0,0,0,0
Sep.19,2호선,245,신답,9,0,973,135,1744,651,6821,1023,10258,1820,4161,1065,2513,1073,2148,1295,2063,1467,2075,1625,1803,1901,1618,2724,2006,3346,2100,3768,2297,8629,1417,6801,762,3413,589,3864,482,2977,175,2076,19,569,0,6,0,0,0,0
Sep.19,2호선,246,신설동,26,0,1055,494,1405,1862,3300,5264,5991,13621,4820,10543,4996,8152,6420,8290,7226,7707,8312,8098,9251,7348,9728,6819,10199,5596,12027,6033,15622,6035,6381,4611,3660,3042,3087,2854,2259,2720,836,2282,128,663,3,117,0,0,0,0
Sep.19,2호선,247,도림천,0,0,436,426,1089,1008,2771,5103,3342,5843,1976,1806,1656,1531,1462,1233,1875,1776,1653,1253,1756,1577,2414,1435,3550,1713,3062,2016,3299,2619,1811,2411,958,1524,848,1394,542,1178,216,890,37,314,2,6,0,0,0,0
Sep.19,2호선,248,양천구청,25,2,4590,1011,11433,2171,34299,5810,32766,10370,19723,6230,13403,6020,11632,5633,12318,6865,10882,8532,8846,9213,8206,11359,9338,13794,10224,18210,9558,28542,4736,26811,3183,16146,2710,14333,2410,14056,868,11059,159,3905,0,116,0,0,0,0
Sep.19,2호선,249,신정네거리,50,1,8398,2512,13868,6524,44196,5129,41673,12357,24051,9150,17635,8044,15719,8609,15987,9357,14501,11990,12297,13133,12012,16244,14227,20278,15800,26602,13576,41480,8337,34867,5842,20780,4846,18575,4191,17558,1884,11448,307,3466,6,282,0,0,0,0
Sep.19,2호선,250,용두(동대문구청),19,1,1186,170,1665,1059,4771,2469,7127,6026,4025,3906,3486,3660,3890,4176,4697,3767,4631,4562,4577,4463,4849,5113,4953,4790,5648,4792,6253,7498,3145,5423,2145,3077,1685,3078,1239,2380,490,1820,84,514,0,10,0,0,0,0
Sep.19,3호선,309,지축,0,0,151,682,1562,2966,4710,2265,5567,2207,3207,1677,2445,1332,1912,1448,1998,1487,1980,1673,1932,1777,2130,2703,3198,2571,3773,3168,2076,4468,884,3464,621,2530,319,2155,166,1685,82,636,23,156,0,1,0,0,0,0
Sep.19,3호선,310,구파발,127,9,10513,1630,31118,10194,92786,23560,88591,30764,47615,28800,32990,26325,30179,24559,31285,26075,30134,28628,29304,28714,31863,30813,38429,36784,40575,44468,36471,69894,24075,64429,18838,38413,16505,35643,13506,32369,4658,23121,762,7863,1,471,0,0,0,0
Sep.19,3호선,311,연신내,264,28,25938,2035,52813,13515,145135,29541,170155,38531,97868,41741,68294,38626,61532,37600,66600,42263,63405,47353,57046,50657,58344,61403,66704,74928,64446,89610,58539,140961,41981,133868,32209,81795,30041,73790,25843,70600,12770,47891,2310,16111,25,272,0,3,0,0
Sep.19,3호선,312,불광,32,1,9823,1304,20409,6380,57564,12283,68152,35325,38618,34868,28711,28696,27076,27597,27949,29026,29886,33575,27881,33823,30272,34667,33536,39202,35241,43472,37273,65190,21685,54900,16571,32980,15644,29617,10827,26910,4718,17258,770,5594,4,52,0,0,0,0
Sep.19,3호선,313,녹번,20,0,7951,1265,20738,8881,58972,7355,70012,16977,39407,11791,25489,9190,21392,9656,21407,11468,19393,12895,17224,14135,16047,17063,18948,22795,20250,28085,20472,45426,10358,43103,7305,27168,6034,25881,4759,24359,1992,15821,253,4501,2,31,0,0,0,0
Sep.19,3호선,314,홍제,68,4,8622,1325,22266,9083,64634,12498,76410,29982,47621,25456,33759,21973,30876,19482,32910,22211,30790,24623,27402,25775,29068,29991,32768,36760,35009,42940,33879,60619,18551,55891,13922,34072,11724,30671,8787,29456,3729,18886,622,5345,1,32,0,0,0,0
Sep.19,3호선,315,무악재,22,1,1897,232,4961,1608,15784,2970,17859,6312,11126,4503,8174,3976,6692,4160,6441,4191,5958,4893,5401,5648,5153,6679,5412,8186,6180,10128,6866,14136,3297,13581,2340,8964,2015,8523,1590,8277,752,5244,94,1484,0,19,0,0,0,0
Sep.19,3호선,316,독립문,129,1,5107,804,6771,5184,18311,16713,21963,20927,16708,20297,13787,17654,15065,14127,17150,13563,16999,16028,17360,16372,19901,15400,23462,15595,19391,16003,19290,19148,9353,16613,6528,10626,5815,9492,4326,9218,1331,6001,210,2525,2,896,0,0,0,0
Sep.19,3호선,317,경복궁(정부서울청사),98,3,2804,1542,6187,13951,15269,43487,22017,127166,23037,89915,19703,62521,26280,55443,34161,50258,43261,54052,51769,45044,64042,39289,80671,37374,86562,37314,118968,41441,50066,29152,40475,14729,41256,12681,27320,12299,10359,7301,1465,2267,5,59,0,0,0,0
Sep.19,3호선,318,안국,27,0,1895,2111,3573,19544,7297,98529,9954,113864,11253,74833,13926,58063,21194,60640,30710,51495,37464,50393,47491,47187,56852,38408,75139,33814,106920,31915,122131,31121,56430,16587,42630,8447,39000,6828,24878,7053,7856,3799,942,1168,1,17,0,1,0,0
Sep.19,3호선,319,종로3가,22,4,858,944,1499,5248,2109,14289,3134,47545,5115,49665,7696,34544,10453,28446,11879,27338,14611,26740,16898,26129,22023,23137,23567,20649,30787,20967,52452,21725,36701,13509,18997,6643,20666,5183,14632,4362,7058,3169,968,1098,16,27,0,1,0,0
Sep.19,3호선,320,을지로3가,5,0,597,930,1372,7644,2399,29876,4333,73369,7647,37139,9751,19102,11361,16160,11537,15000,14191,14762,16447,13982,18017,14033,19495,14050,33323,16367,63711,20579,30502,12891,20204,6342,19414,4691,15563,3454,9371,2172,1601,609,10,16,0,0,0,0
Sep.19,3호선,321,충무로,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,4,0,1,0,2,0,9,0,7,0,1,0,7,0,8,0,6,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0
Sep.19,3호선,322,동대입구,22,2,1599,1336,2868,8610,6015,21073,9005,72105,7972,41895,8741,40909,11560,32679,15053,23110,18479,27500,20063,22695,23139,18359,28930,17565,47574,21778,52181,24705,29973,14510,31196,7245,25199,6366,19388,5300,7859,4002,788,1367,4,100,0,0,0,0
